  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 101    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 102    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 103    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 104    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 105    4    0   80.00  80.00     4      5    5      0      4     2    50.00
 106    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 107    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 108    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 109    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 110    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 111    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 112    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 113    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 114    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 115    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 116    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 117    3    0  100.00 100.00     4      4    4      0      3     2    66.67
 118    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 119    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 120    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 121    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 122    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 123    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 124    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 125    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 126    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 127    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 128    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 129    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 130    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 131    4    0   83.33  83.33     5      6    6      1      4     4   100.00
 132    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 133    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 134    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 135    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 136    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 137    4    0   83.33  83.33     5      6    6      1      4     4   100.00
 138    5    0   42.86  50.00     3      7    6      1      5     3    60.00
 139    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 140    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 141    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 142    3    0   40.00  50.00     2      5    4      0      3     1    33.33
 143    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 144    4    0   83.33  83.33     5      6    6      1      4     4   100.00
 145    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 146    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 147    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 148    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 149    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 150    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 151    4    0   83.33  83.33     5      6    6      1      4     4   100.00
